	
locus	Mean	Lower_95%CI	Upper_95%CI	
BMS1117	0.0318	-0.0043	0.0717	
TGLA53	0.0516	0.0226	0.0932	
BMC4214	0.0363	0.0193	0.0598	
BM1225	0.0797	0.0492	0.1162	
BM47	0.0532	0.0072	0.1267	
BMS1315	0.1587	0.1038	0.2167	
IL4	0.0587	0.0282	0.0849	
BM2113	0.0465	0.0218	0.0777	
BMS1716	0.0705	0.0289	0.1177	
BM1706	0.0646	0.0274	0.1169	
BMS1675	0.0708	0.0307	0.128	
BMS1857	0.0564	0.0336	0.0871	
BMS1001	0.0491	0.0127	0.1034	
BMS601	0.0969	0.0474	0.1511	
BM720	0.0657	0.0301	0.1171	
ILSTS102	0.0433	0.0125	0.0825	
BMS1074	0.0617	0.0261	0.1091	
BMS1172	0.0584	0.023	0.0983	
BMS2258	0.0814	0.05	0.1204	
BM757	0.0561	0.0257	0.1162	
SPS115	0.1335	0.0995	0.1716	
BMS527	0.0399	0.0122	0.0769	
BM2830	0.0794	0.0514	0.1264	
INRA194	0.0664	0.0347	0.1072	
BMS941	0.0272	0.0046	0.0614	
INRA037	0.0923	0.0628	0.1292	
BM4107	0.0499	0.026	0.0984	
TGLA122	0.0539	0.0137	0.1015	
HUJ246	0.0841	0.0253	0.1538	
BMS528	0.0888	0.0536	0.1388	
BM4440	0.0939	0.0488	0.151	
TGLA44	0.0401	0.0049	0.0875	
BMS510	0.0634	0.0332	0.1044	
BMS1355	0.0794	0.0439	0.1345	
BM1824	0.0511	0.0225	0.0891	
BMS812	0.0934	0.062	0.125	
BMS2639	0.0649	0.0405	0.0904	
BMS410	0.0574	0.015	0.1024	
AGLA232	0.0271	6e-04	0.0647	
BM17132	0.0655	0.035	0.0968	
BM711	0.1528	0.0775	0.2309	
INRA133	0.081	0.0435	0.1304	
RM372	0.0497	0.0199	0.0849	
BM4311	0.107	0.0731	0.1558	
BMS1747	0.0525	0.023	0.0914	
BL1036	0.0953	0.0482	0.1802	
BM1862	0.028	0.0041	0.0579	
BMS1862	0.0767	0.0379	0.1172	
URB011	0.0914	0.0535	0.1349	
global	0.0688	0.0601	0.0802	
G_hed_st_est				
BMS1117	0.0786	-0.0111	0.1696	
TGLA53	0.1651	0.0789	0.2819	
BMC4214	0.1491	0.0777	0.2356	
BM1225	0.2679	0.1765	0.3608	
BM47	0.0633	0.0084	0.1491	
BMS1315	0.4187	0.304	0.5224	
IL4	0.2546	0.1419	0.3355	
BM2113	0.1077	0.0507	0.172	
BMS1716	0.1898	0.0837	0.2913	
BM1706	0.1566	0.0686	0.2752	
BMS1675	0.1313	0.0591	0.2339	
BMS1857	0.2563	0.1562	0.3542	
BMS1001	0.1253	0.034	0.2544	
BMS601	0.2768	0.1527	0.407	
BM720	0.2062	0.0979	0.3432	
ILSTS102	0.0502	0.0144	0.0942	
BMS1074	0.1648	0.0741	0.269	
BMS1172	0.1252	0.0514	0.1946	
BMS2258	0.34	0.2346	0.463	
BM757	0.1514	0.074	0.298	
SPS115	0.2836	0.2243	0.3471	
BMS527	0.1703	0.0571	0.307	
BM2830	0.2698	0.1927	0.3695	
INRA194	0.1891	0.1056	0.295	
BMS941	0.0729	0.0124	0.1568	
INRA037	0.2222	0.1537	0.2894	
BM4107	0.1973	0.1069	0.3458	
TGLA122	0.1412	0.0397	0.2546	
HUJ246	0.1875	0.0629	0.316	
BMS528	0.234	0.1532	0.3391	
BM4440	0.2509	0.1424	0.3723	
TGLA44	0.1044	0.0138	0.2365	
BMS510	0.1854	0.0978	0.2948	
BMS1355	0.1831	0.1064	0.2926	
BM1824	0.193	0.0865	0.3247	
BMS812	0.326	0.2309	0.4053	
BMS2639	0.2962	0.1952	0.3862	
BMS410	0.1436	0.0376	0.2459	
AGLA232	0.0998	0.0024	0.2278	
BM17132	0.212	0.1149	0.2987	
BM711	0.2276	0.1254	0.3364	
INRA133	0.2367	0.1397	0.3504	
RM372	0.1473	0.0636	0.2481	
BM4311	0.3566	0.2671	0.4537	
BMS1747	0.1813	0.0824	0.2927	
BL1036	0.216	0.1198	0.3679	
BM1862	0.091	0.0136	0.1684	
BMS1862	0.3483	0.2145	0.471	
URB011	0.2968	0.1931	0.393	
global	0.188	0.1666	0.2145	
D_Jost_est				
BMS1117	0.0489	-0.0068	0.1053	
TGLA53	0.1205	0.0576	0.2051	
BMC4214	0.1175	0.0596	0.1883	
BM1225	0.2052	0.132	0.2855	
BM47	0.0109	0.0011	0.0246	
BMS1315	0.3105	0.2234	0.3883	
IL4	0.2087	0.1176	0.2787	
BM2113	0.0644	0.0295	0.1063	
BMS1716	0.1292	0.0565	0.1992	
BM1706	0.0993	0.0412	0.1792	
BMS1675	0.0659	0.0284	0.1281	
BMS1857	0.2124	0.1276	0.2932	
BMS1001	0.0811	0.0215	0.1687	
BMS601	0.2009	0.1101	0.2988	
BM720	0.1515	0.0704	0.2562	
ILSTS102	0.0072	0.0019	0.0142	
BMS1074	0.1106	0.0492	0.181	
BMS1172	0.0713	0.029	0.1095	
BMS2258	0.2826	0.1944	0.3913	
BM757	0.1018	0.0484	0.2057	
SPS115	0.1736	0.1354	0.2237	
BMS527	0.1368	0.0455	0.2493	
BM2830	0.2074	0.1493	0.2823	
INRA194	0.1321	0.0731	0.2104	
BMS941	0.0474	0.0078	0.1017	
INRA037	0.1435	0.0999	0.1943	
BM4107	0.156	0.0828	0.2744	
TGLA122	0.0932	0.0266	0.1694	
HUJ246	0.1146	0.0385	0.194	
BMS528	0.1602	0.1034	0.2346	
BM4440	0.1743	0.0983	0.262	
TGLA44	0.0679	0.0088	0.1629	
BMS510	0.131	0.067	0.2103	
BMS1355	0.1135	0.0657	0.1858	
BM1824	0.1505	0.0654	0.2596	
BMS812	0.2574	0.1798	0.323	
BMS2639	0.2479	0.1612	0.3265	
BMS410	0.0924	0.0238	0.162	
AGLA232	0.0755	0.0018	0.1743	
BM17132	0.1574	0.0825	0.2231	
BM711	0.0893	0.0505	0.138	
INRA133	0.1705	0.1006	0.2546	
RM372	0.1034	0.0444	0.1753	
BM4311	0.2805	0.21	0.3582	
BMS1747	0.1367	0.0608	0.2251	
BL1036	0.1348	0.0721	0.2322	
BM1862	0.0653	0.0095	0.126	
BMS1862	0.2954	0.1821	0.4044	
URB011	0.227	0.147	0.3048	
global	0.1061	0.0898	0.1264	
Fst_WC				
BMS1117	0.0427	-0.0012	0.0871	
TGLA53	0.0603	0.0262	0.1046	
BMC4214	0.048	0.0275	0.0695	
BM1225	0.1234	0.076	0.1786	
BM47	0.0729	0.0149	0.1586	
BMS1315	0.2011	0.139	0.2614	
IL4	0.068	0.0383	0.0949	
BM2113	0.0745	0.0432	0.1112	
BMS1716	0.1009	0.0486	0.1606	
BM1706	0.0716	0.0334	0.1142	
BMS1675	0.0916	0.041	0.1511	
BMS1857	0.0873	0.0606	0.122	
BMS1001	0.0427	0.0126	0.0964	
BMS601	0.1224	0.0717	0.1749	
BM720	0.071	0.034	0.1061	
ILSTS102	0.061	0.021	0.1129	
BMS1074	0.0808	0.0393	0.1422	
BMS1172	0.0889	0.043	0.1375	
BMS2258	0.1124	0.0734	0.149	
BM757	0.0777	0.0486	0.1254	
SPS115	0.1952	0.1472	0.2422	
BMS527	0.0508	0.0211	0.0871	
BM2830	0.1157	0.0841	0.1565	
INRA194	0.0845	0.0479	0.1314	
BMS941	0.0381	0.0111	0.0726	
INRA037	0.1454	0.1068	0.1945	
BM4107	0.0637	0.0369	0.1003	
TGLA122	0.0595	0.0252	0.0952	
HUJ246	0.1004	0.0361	0.1719	
BMS528	0.1242	0.0795	0.1816	
BM4440	0.1122	0.0663	0.1467	
TGLA44	0.0406	0.0081	0.0848	
BMS510	0.0824	0.0467	0.1182	
BMS1355	0.1346	0.0806	0.211	
BM1824	0.0696	0.0388	0.1101	
BMS812	0.141	0.0935	0.1888	
BMS2639	0.09	0.062	0.1265	
BMS410	0.0789	0.0304	0.1289	
AGLA232	0.0308	0.003	0.0586	
BM17132	0.0973	0.0581	0.134	
BM711	0.2062	0.1138	0.2953	
INRA133	0.1075	0.064	0.1729	
RM372	0.0707	0.0413	0.1062	
BM4311	0.1371	0.1003	0.1911	
BMS1747	0.0651	0.0319	0.0986	
BL1036	0.1303	0.0781	0.2042	
BM1862	0.0339	0.0045	0.0679	
BMS1862	0.0747	0.0426	0.1068	
URB011	0.1379	0.0929	0.198	
global	0.0925	0.0842	0.1016	
Fit_WC				
BMS1117	-0.0872	-0.2049	0.0238	
TGLA53	0.0957	-0.0058	0.2082	
BMC4214	-0.0035	-0.0873	0.089	
BM1225	0.0731	-0.0145	0.1501	
BM47	0.0706	-0.0634	0.2574	
BMS1315	0.2099	0.114	0.313	
IL4	0.0919	0.003	0.168	
BM2113	-0.0214	-0.1008	0.0583	
BMS1716	0.0743	-0.0337	0.1726	
BM1706	0.1233	0.018	0.2444	
