loci	ind	k	runs	elpdmean	elpdsd	elpdmin	elpdmax	lnk1	lnk1max	lnk1min	lnk2	lnk2max	lnk2min	deltaK
49	361	1	10	-42357.98	0.0788810637735137	-42358.0588810638	-42357.9011189362	NA	NA	NA	NA	NA	NA	NA
49	361	2	10	-40906.91	0.835929289939139	-40907.7459292899	-40906.0740707101	1451.07	1451.82704822617	1450.31295177383	849.869999999995	1065.79195913576	633.948040864232	1016.67690105926
49	361	3	10	-40305.71	217.514936651868	-40523.2249366519	-40088.1950633481	601.200000000004	817.879007361934	384.520992638075	207.800000000003	250.507240859546	165.09275914046	0.955336691808828
49	361	4	10	-39912.31	43.5431701494819	-39955.8531701495	-39868.7668298505	393.400000000001	567.371766502388	219.428233497615	69.0800000000017	226.922116671209	-88.7621166712054	1.58647153532582
49	361	5	10	-39587.99	59.6728199806613	-39647.6628199807	-39528.3171800193	324.32	340.449649831179	308.19035016882	405.669999999998	556.879841161227	254.46015883877	6.79823745771471
49	361	6	10	-39669.34	227.012310973069	-39896.3523109731	-39442.3276890269	-81.3499999999985	85.9894909924092	-248.689490992406	122.719999999994	241.177600716578	4.26239928340996	0.540587422214967
49	361	7	10	-39627.97	178.130420697245	-39806.1004206972	-39449.8395793028	41.3699999999953	90.2518902758192	-7.51189027582851	16.830000000009	34.6301961231002	-0.970196123082161	0.0944813352718326
49	361	8	10	-39569.77	209.212114849978	-39778.98211485	-39360.55788515	58.2000000000044	89.281694152737	27.1183058472717	169.600000000006	345.975236457173	-6.77523645716096	0.810660511326616
49	361	9	10	-39681.17	416.669045459877	-40097.8390454599	-39264.5009545401	-111.400000000001	96.056930609898	-318.856930609901	102.18	251.571496242951	-47.2114962429509	0.245230599953074
49	361	10	10	-39690.39	358.603611092929	-40048.9936110929	-39331.7863889071	-9.22000000000116	48.8454343669471	-67.2854343669495	149.580000000002	363.820276017643	-64.6602760176395	0.417117941294906
49	361	11	10	-39849.19	86.2979007083395	-39935.4879007083	-39762.8920992917	-158.800000000003	113.505710384587	-431.105710384592	87.8300000000017	96.3845123145517	79.2754876854518	1.01775361021632
49	361	12	10	-39920.16	350.049098778379	-40270.2090987784	-39570.1109012216	-70.9700000000012	192.781198070038	-334.721198070041	457.819999999992	1592.00567388729	-676.365673887306	1.30787367142986
49	361	13	10	-40448.95	1747.98597073572	-42196.9359707357	-38700.9640292643	-528.789999999994	869.146871957344	-1926.72687195733	855.919999999991	995.678384490974	716.161615509008	0.489660680537235
49	361	14	10	-40121.82	489.807483269362	-40611.6274832694	-39632.0125167306	327.129999999997	1585.30848746635	-931.048487466357	1100.24	1468.84474065866	731.635259341336	2.24627029512927
49	361	15	10	-40894.93	1379.38123007706	-42274.3112300771	-39515.5487699229	-773.110000000001	116.463746807692	-1662.68374680769	NA	NA	NA	NA
