"","Population","n","HEXP","HOBS","Na","AR","AE","FIS","NP","RP"
"1","WBNPGR",10,0.63,0.628,4.21,4.11,2.7,0.002,1,0.07
"2","WBNPPAD",24,0.645,0.644,5.12,4.19,2.82,0.003,5,0.08
"3","WBNPNY",13,0.603,0.609,4.04,3.81,2.52,-0.014,4,0.11
"4","WBNPLB",11,0.611,0.595,3.92,3.77,2.57,0.021,1,0.04
"5","WBNPHC",23,0.629,0.606,5,4.16,2.7,0.028,10,0.16
"6","EINPP",30,0.642,0.626,4.56,3.93,2.79,0.021,1,0.11
"7","EINPW",39,0.555,0.538,4.25,3.51,2.25,0.021,5,0.07
"8","MBS",28,0.607,0.618,4.35,3.71,2.54,-0.025,2,0.03
