"","locusID","mean_dropout_temp1","sd_temp1","mean_dropout_temp2","sd_temp2"
"1","BM47",0.0666855454545455,0.127678814959541,0.02477475,0.0443728451292755
"2","BMS941",0.0553502727272727,0.0959254902506012,0.0210163125,0.0504813656335599
"3","INRA194",0.0454350909090909,0.0663164750698566,0.0337568125,0.0488713027740121
"4","BMS1355",0.0451711818181818,0.0710168772304418,0.0102278125,0.0379801286029396
"5","BMS601",0.0419133636363636,0.0504249859003901,0.0737113125,0.103681976312002
"6","IL4",0.0413545454545455,0.0792887469952245,0.0238498125,0.0620360406518864
"7","BM1862",0.0391094545454545,0.0499257646959236,0.0323193125,0.0550401670185435
"8","INRA133",0.0387930909090909,0.0452549113057457,0.0419725,0.0670330252069829
"9","BMS410",0.0377313636363636,0.0546415765809749,0.023299125,0.0724163571401517
"10","ILSTS102",0.0328180909090909,0.0799220929048465,0.0245075625,0.047803502608029
"11","BMS1001",0.0323352727272727,0.0808059587915284,0.022534625,0.0425409296323356
"12","BMS1315",0.0287240909090909,0.0705795096093116,0.0137733125,0.0170083223382702
"13","BMS1074",0.0254157272727273,0.0580653128469845,0.021182875,0.0414511529471739
"14","SPS115",0.0249713636363636,0.0582526277832558,0.0289478125,0.0609276924539449
"15","BMS510",0.024273,0.0442782543603516,0.04188725,0.0771122618909168
"16","BMS1675",0.0237461818181818,0.0388681303070219,0.0172836875,0.0440828813482343
"17","INRA037",0.023575,0.045907661550116,0.027927,0.0367502642929272
"18","BMS1747",0.0233882727272727,0.0366954935083067,0.0275800625,0.048493968972741
"19","BL1036",0.0230574545454545,0.0509751207479956,0.00983425,0.0281638099707172
"20","RM372",0.0220734545454545,0.0405684018796985,0.013992625,0.0375412101383267
"21","BM2830",0.0205311818181818,0.0393224524586608,0.0177620625,0.052737885933446
"22","BMS528",0.0198813636363636,0.0538529965578012,0.012516625,0.0303521682276022
"23","BM4440",0.0176053636363636,0.0292139776794353,0.0230148125,0.0636889168487147
"24","BMS812",0.0170131818181818,0.0313491769264145,0.0157956875,0.0208166655726247
"25","BMS527",0.0169682727272727,0.0272344575605644,0.008270375,0.0168879433753788
"26","BMS1857",0.0169563636363636,0.036332244035492,0.0150605625,0.0235267257701215
"27","BM711",0.0145657272727273,0.0326682054085954,0.0255729375,0.0456538963543
"28","BM1824",0.013908,0.0331244169005282,0.0164748125,0.0324981436315343
"29","HUJ246",0.0135916363636364,0.0292122869706318,0.056208125,0.0725385217649905
"30","BM1706",0.0134789090909091,0.0186215627564098,0.0149695625,0.031805220464506
"31","BM757",0.0132307272727273,0.0371110672929004,0.0095760625,0.0218876155255851
"32","URB011",0.0131222727272727,0.0239906110930543,0.094725625,0.202383625290478
"33","BMS1862",0.0120904545454545,0.0247329304263107,0.0284878125,0.0473277618517486
"34","BMS2258",0.0111592727272727,0.0273973738124329,0.020049125,0.0387300971543234
"35","TGLA44",0.0110363636363636,0.0217052187700227,0.0021985625,0.00487469629780495
"36","BMS1716",0.0107735454545455,0.0181256124992434,0.00707825,0.0186453473499423
"37","BMS2639",0.0107361818181818,0.0225416529554431,0.0077806875,0.0199336251184399
"38","BM4107",0.00772736363636364,0.0138860458466241,0.022108875,0.0465340668082714
"39","TGLA53",0.00706090909090909,0.0178973227352839,0.034479875,0.0699005897599107
"40","AGLA232",0.00555972727272727,0.0117170969364507,0.0099620625,0.0199697414854533
"41","BM720",0.00490981818181818,0.00894933131377068,0.023871,0.0414200362755354
"42","BMS1117",0.00370236363636364,0.00564682534301757,0.0099493125,0.0133303786678836
"43","BMC4214",0.00201536363636364,0.0055768777514435,0.0165221875,0.0299608424519266
"44","BM17132",0.000938181818181818,0.00271689380794251,0.022608375,0.0551225499360289
"45","BM2113",0.000866636363636364,0.00281700167812258,0.01375025,0.0248982490856954
"46","BM4311",0.000835181818181818,0.00254652374103136,0.0409181875,0.0726061598132635
"47","BM1225",0.000804818181818182,0.00264548841684033,0.0215199375,0.0415325716861176
"48","BMS1172",0.000188727272727273,0.000619659275878138,0.0156788125,0.0256377205726738
"49","TGLA122",1.27272727272727e-06,3.90104881002299e-06,0.0164815,0.0596458887580136
