"Population","Locus.1","Locus.2","p.value","std.err","switches","p.adj_herd"
"EINPP","BM757","SPS115",0,0,18773,0
"NAH","BM17132","BM720",0.017766,0.00123,41382,0.0255291113831089
"NAH","BM1824","BM720",0.018346,0.001144,41760,0.0263303227383863
"NAH","BM2830","BMC4214",0.017428,0.000879,66846,0.0250741078431373
"NAH","BL1036","BMS1117",0.012566,0.000584,92796,0.0181012073619632
"NAH","BM2830","BMS1857",0.034186,0.001205,69696,0.0489443463414634
"NAH","BMC4214","BMS1857",0.018548,0.001276,41542,0.0265877313797314
